order_item_id,order_id,product_id,quantity,unit_price
1,1,249,1,1851
2,2,134,1,1101
3,3,54,1,2174
4,4,2,1,2368
5,5,88,1,938
6,6,138,1,2815
7,6,175,1,507
8,7,70,2,1664
9,7,72,2,262
10,8,80,1,698
11,8,13,1,791
12,9,68,1,1955
13,10,91,1,1066
14,11,206,1,1709
15,12,31,1,1395
16,12,110,1,3488
17,12,218,1,4143
18,13,208,1,2093
19,13,5,1,2971
20,14,112,1,4359
21,15,154,1,2033
22,15,151,1,1372
23,15,173,1,954
24,16,81,1,864
25,17,115,2,1860
26,18,46,1,2165
27,18,90,1,2950
28,19,253,1,1210
29,19,107,1,1323
30,20,29,1,1385
31,21,257,1,1615
32,22,158,1,1995
33,23,242,2,2482
34,23,158,1,1995
35,24,235,1,2439
36,25,187,1,1056
37,26,143,2,1966
38,27,40,1,3597
39,27,198,1,288
40,28,44,1,2892
41,28,17,1,3452
42,28,208,2,2093
43,29,72,1,262
44,30,90,1,2950
45,31,80,1,698
46,32,151,1,1372
47,32,116,1,2656
48,33,69,1,3023
49,34,224,2,946
50,34,190,1,914
51,35,61,2,524
52,36,33,1,1607
53,36,256,1,2709
54,37,13,1,791
55,37,98,1,504
56,38,85,1,1326
57,39,3,1,2438
58,40,90,1,2950
59,40,145,2,4871
60,41,138,1,2815
61,41,32,1,339
62,41,15,1,1892
63,42,187,1,1056
64,42,82,1,1744
65,43,14,1,2466
66,43,133,1,1808
67,44,51,1,1106
68,44,75,1,1776
69,44,251,1,2690
70,45,113,1,905
71,46,23,1,789
72,46,228,1,1251
73,46,153,1,723
74,47,183,1,1013
75,48,7,1,1684
76,49,255,1,1679
77,50,225,1,1606
78,50,134,2,1101
79,50,192,2,1872
80,51,148,1,802
81,52,89,1,1622
82,52,111,1,1379
83,53,151,1,1372
84,54,43,1,2261
85,54,45,1,700
86,55,238,1,608
87,56,234,1,3084
88,57,177,2,1789
89,57,176,1,1005
90,58,94,1,545
91,59,214,1,939
92,60,129,1,2404
93,61,222,1,1380
94,62,226,2,1589
95,63,177,1,1789
96,63,250,1,3263
97,64,184,1,1478
98,65,191,1,1880
99,66,167,1,697
100,66,79,1,2279
101,67,141,1,2869
102,68,129,2,2404
103,69,188,1,812
104,70,253,1,1210
105,70,183,1,1013
106,70,108,1,1117
107,70,135,1,2171
108,71,226,1,1589
109,72,222,1,1380
110,72,41,1,4035
111,73,47,1,1090
112,74,137,1,1201
113,75,93,1,2982
114,75,189,1,1666
115,76,106,1,521
116,77,106,1,521
117,77,113,1,905
118,78,114,1,1370
119,78,115,1,1860
120,79,40,1,3597
121,79,20,1,1016
122,80,179,1,881
123,80,46,1,2165
124,81,212,2,2326
125,81,114,1,1370
126,82,14,1,2466
127,83,200,1,1045
128,84,21,1,2014
129,85,226,1,1589
130,85,154,1,2033
131,86,26,1,3195
132,86,16,1,2221
133,86,150,1,2232
134,86,218,2,4143
135,87,238,2,608
136,88,57,1,1202
137,88,109,1,880
138,88,228,1,1251
139,89,224,2,946
140,89,41,1,4035
141,89,22,2,1491
142,89,26,1,3195
143,90,116,1,2656
