event_id,session_id,customer_id,event_type,event_timestamp
1,1,1,home_view,2025-08-27 18:20:00
2,1,1,product_view,2025-08-27 18:26:00
3,1,1,add_to_cart,2025-08-27 18:43:00
4,2,1,home_view,2025-10-01 09:39:00
5,3,1,home_view,2025-10-20 09:05:00
6,3,1,product_view,2025-10-20 09:09:00
7,4,2,home_view,2025-08-29 08:53:00
8,4,2,product_view,2025-08-29 09:13:00
9,5,2,home_view,2025-10-18 15:14:00
10,6,2,home_view,2025-11-08 13:40:00
11,6,2,product_view,2025-11-08 13:56:00
12,7,3,home_view,2025-06-22 09:44:00
13,8,3,home_view,2025-07-12 17:33:00
14,8,3,product_view,2025-07-12 17:51:00
15,8,3,add_to_cart,2025-07-12 17:54:00
16,9,3,home_view,2025-07-21 21:53:00
17,9,3,product_view,2025-07-21 21:55:00
18,10,3,home_view,2025-07-22 20:01:00
19,10,3,product_view,2025-07-22 20:24:00
20,11,3,home_view,2025-07-28 16:59:00
21,11,3,product_view,2025-07-28 17:11:00
22,12,3,home_view,2025-09-30 10:40:00
23,12,3,product_view,2025-09-30 10:57:00
24,12,3,add_to_cart,2025-09-30 10:59:00
25,13,3,home_view,2025-10-05 23:44:00
26,13,3,product_view,2025-10-05 23:56:00
27,14,4,home_view,2025-04-08 12:12:00
28,14,4,product_view,2025-04-08 12:24:00
29,15,4,home_view,2025-04-09 17:53:00
30,15,4,product_view,2025-04-09 17:57:00
31,16,4,home_view,2025-08-27 13:21:00
32,16,4,product_view,2025-08-27 13:31:00
33,17,4,home_view,2025-09-16 08:09:00
34,17,4,product_view,2025-09-16 08:24:00
35,17,4,add_to_cart,2025-09-16 08:26:00
36,17,4,checkout_start,2025-09-16 08:50:00
37,17,4,purchase,2025-09-16 09:03:00
38,18,4,home_view,2025-10-17 19:13:00
39,18,4,product_view,2025-10-17 19:25:00
40,19,4,home_view,2025-10-19 22:02:00
41,20,4,home_view,2025-10-30 15:43:00
42,20,4,product_view,2025-10-30 16:07:00
43,20,4,add_to_cart,2025-10-30 16:19:00
44,21,5,home_view,2025-09-16 23:23:00
45,21,5,product_view,2025-09-16 23:47:00
46,22,6,home_view,2024-12-04 11:52:00
47,23,6,home_view,2024-12-07 12:16:00
48,23,6,product_view,2024-12-07 12:27:00
49,24,6,home_view,2025-01-12 19:57:00
50,24,6,product_view,2025-01-12 20:01:00
51,25,6,home_view,2025-01-24 23:58:00
52,25,6,product_view,2025-01-25 00:14:00
53,26,6,home_view,2025-02-06 22:02:00
54,27,6,home_view,2025-02-13 14:21:00
55,27,6,product_view,2025-02-13 14:33:00
56,27,6,add_to_cart,2025-02-13 14:50:00
57,27,6,checkout_start,2025-02-13 15:08:00
58,27,6,purchase,2025-02-13 15:33:00
59,28,6,home_view,2025-03-06 18:45:00
60,28,6,product_view,2025-03-06 19:08:00
61,29,6,home_view,2025-03-29 11:25:00
62,29,6,product_view,2025-03-29 11:26:00
63,30,6,home_view,2025-04-02 18:01:00
64,30,6,product_view,2025-04-02 18:12:00
65,30,6,add_to_cart,2025-04-02 18:26:00
66,31,6,home_view,2025-04-08 08:41:00
67,31,6,product_view,2025-04-08 08:59:00
68,32,6,home_view,2025-05-05 11:10:00
69,32,6,product_view,2025-05-05 11:20:00
70,32,6,add_to_cart,2025-05-05 11:29:00
